Имя объекта;Тип объекта;Синоним;Файл
Справочник.АвансовыйОтчетПрисоединенныеФайлы;Справочник;Приєднані файли (Авансовий звіт);Справочник_АвансовыйОтчетПрисоединенныеФайлы.md
Справочник.АвтоматическиеСкидки;Справочник;Види автоматичних знижок, націнок;Справочник_АвтоматическиеСкидки.md
Справочник.АктВыполненныхРаботПрисоединенныеФайлы;Справочник;Приєднані файли (Акт виконаних рабіт);Справочник_АктВыполненныхРаботПрисоединенныеФайлы.md
Справочник.АктОРасхожденияхПолученныйПрисоединенныеФайлы;Справочник;Приєднані файли (Акт про розбіжності отриманий);Справочник_АктОРасхожденияхПолученныйПрисоединенныеФайлы.md
Справочник.АктОРасхожденияхПрисоединенныеФайлы;Справочник;Приєднані файли (Акт про розбіжності);Справочник_АктОРасхожденияхПрисоединенныеФайлы.md
Справочник.АналитикаНачисленияБонусов;Справочник;Аналітика нарахування бонусів;Справочник_АналитикаНачисленияБонусов.md
Справочник.Банки;Справочник;Банки;Справочник_Банки.md
Справочник.БанковскиеСчета;Справочник;Банківські рахунки;Справочник_БанковскиеСчета.md
Справочник.БонусныеПрограммы;Справочник;Бонусні програми;Справочник_БонусныеПрограммы.md
Справочник.Бригады;Справочник;Бригади;Справочник_Бригады.md
Справочник.Валюты;Справочник;Валюти;Справочник_Валюты.md
Справочник.ВариантыДополнительныхОтчетов;Справочник;Варіанти додаткових звітів;Справочник_ВариантыДополнительныхОтчетов.md
Справочник.ВариантыОтчетов;Справочник;Звіти;Справочник_ВариантыОтчетов.md
Справочник.ВерсииПоставляемыхРасширений;Справочник;Версії розширень, що поставляються;Справочник_ВерсииПоставляемыхРасширений.md
Справочник.ВерсииРасширений;Справочник;Версії розширень;Справочник_ВерсииРасширений.md
Справочник.ВерсииФайлов;Справочник;Версії файлів;Справочник_ВерсииФайлов.md
Справочник.ВзаимозачетПрисоединенныеФайлы;Справочник;Приєднані файли (Коригування боргу);Справочник_ВзаимозачетПрисоединенныеФайлы.md
Справочник.ВидыАлкогольнойПродукции;Справочник;Види алкогольної і спиртовмісної продукції;Справочник_ВидыАлкогольнойПродукции.md
Справочник.ВидыДисконтныхКарт;Справочник;Види дисконтних карток;Справочник_ВидыДисконтныхКарт.md
Справочник.ВидыДоговоровПоГК;Справочник;Види договорів згідно за Цивільним Кодексом;Справочник_ВидыДоговоровПоГК.md
Справочник.ВидыДокументовФизическихЛиц;Справочник;Види документів фізичних осіб;Справочник_ВидыДокументовФизическихЛиц.md
Справочник.ВидыЗаказНарядов;Справочник;Види замовлень-нарядів;Справочник_ВидыЗаказНарядов.md
Справочник.ВидыЗаказовПокупателей;Справочник;Види замовлень покупців;Справочник_ВидыЗаказовПокупателей.md
Справочник.ВидыКонтактнойИнформации;Справочник;Види контактної інформації;Справочник_ВидыКонтактнойИнформации.md
Справочник.ВидыНалогов;Справочник;Види податків;Справочник_ВидыНалогов.md
Справочник.ВидыНачисленийИУдержаний;Справочник;Види нарахувань і утримань;Справочник_ВидыНачисленийИУдержаний.md
Справочник.ВидыПлатежныхКарт;Справочник;Види платіжних карток;Справочник_ВидыПлатежныхКарт.md
Справочник.ВидыПроизводства;Справочник;Види виробництва;Справочник_ВидыПроизводства.md
Справочник.ВидыРабочегоВремени;Справочник;Види робочого часу;Справочник_ВидыРабочегоВремени.md
Справочник.ВидыРесурсовПредприятия;Справочник;Види ресурсів підприємства;Справочник_ВидыРесурсовПредприятия.md
Справочник.ВидыСкидокНаценок;Справочник;Види знижок, націнок;Справочник_ВидыСкидокНаценок.md
Справочник.ВидыЦен;Справочник;Види цін;Справочник_ВидыЦен.md
Справочник.ВидыЦенКонтрагентов;Справочник;Види цін постачальників;Справочник_ВидыЦенКонтрагентов.md
Справочник.ВнеоборотныеАктивы;Справочник;Майно;Справочник_ВнеоборотныеАктивы.md
Справочник.ВнешниеКомпоненты;Справочник;Зовнішні компоненти;Справочник_ВнешниеКомпоненты.md
Справочник.ВнешниеПользователи;Справочник;Зовнішні користувачі;Справочник_ВнешниеПользователи.md
Справочник.ГрафикиРаботы;Справочник;Графіки роботи;Справочник_ГрафикиРаботы.md
Справочник.ГруппыВнешнихПользователей;Справочник;Групи зовнішніх користувачів;Справочник_ГруппыВнешнихПользователей.md
Справочник.ГруппыДоступа;Справочник;Групи доступу;Справочник_ГруппыДоступа.md
Справочник.ГруппыДоступаКонтрагентов;Справочник;Групи доступу контактів і контрагентів;Справочник_ГруппыДоступаКонтрагентов.md
Справочник.ГруппыДоступаЛидов;Справочник;Групи доступу лідів;Справочник_ГруппыДоступаЛидов.md
